Traditional	Simplified	Pinyin	English	Zhuyin
愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to	ㄞˋ
愛好	爱好	àihào	love, like, be fond of, be keen on	ㄞˋ ㄏㄠˋ
爸爸	爸爸	bàba	old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa	ㄅㄚˋ ㄅㄚ˙
白	白	bái	white, clear, pure, plain, wrongly written/mispronounced,	ㄅㄞˊ
八	八	bā	det.: eight	ㄅㄚ
白天	白天	báitian	daytime, during the day, day, CL:個|个[ge4]	ㄅㄞˊ ㄊㄧㄢ˙
班	班	bān	m.[event]	ㄅㄢ
百	百	bǎi	cent, centum, century, hundred, det.: hundred	ㄅㄞˇ
吧	吧	ba	particle: used to show mild imperative or uncertainty	ㄅㄚ˙
半	半	bàn	det.: half	ㄅㄢˋ
半年	半年	bànnián	half a year	ㄅㄢˋ ㄋㄧㄢˊ
半天	半天	bàntiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]	ㄅㄢˋ ㄊㄧㄢ
幫	帮	bāng	help	ㄅㄤ
幫忙	帮忙	bāng máng	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn	ㄅㄤ ㄇㄤˊ
包	包	bāo	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee	ㄅㄠ
包子	包子	bāozi	steamed stuffed bun, CL:個|个[ge4]	ㄅㄠ ㄗ˙
杯	杯	bēi	m.[container]	ㄅㄟ
杯子	杯子	bēizi	tumbler, drinking glass, cup, glass	ㄅㄟ ㄗ˙
北邊	北边	běibian	north, north side, northern part, to the north of	ㄅㄟˇ ㄅㄧㄢ˙
本	本	běn	det.: this	ㄅㄣˇ
北京	北京	Běijīng	capital of Red China, Beijing, Peking, Beijing (Peking), Peiping	ㄅㄟˇ ㄐㄧㄥ
北	北	běi	atomic number 97, northward, north, berkelium, Bk, northern	ㄅㄟˇ
本子	本子	běnzi	book, notebook, edition, CL:本[ben3]	ㄅㄣˇ ㄗ˙
別	别	bié	don't	ㄅㄧㄝˊ
別的	别的	biéde	else, other	ㄅㄧㄝˊ ㄉㄜ˙
別人	别人	biéren	others, other people, another person	ㄅㄧㄝˊ ㄖㄣ˙
病	病	bìng	disease	ㄅㄧㄥˋ
病人	病人	bìngrén	shut-in, patient, subject, sufferer, case, valetudinarian, invalid	ㄅㄧㄥˋ ㄖㄣˊ
比	比	bǐ	compared with	ㄅㄧˇ
不大	不大	bùdà	not very/too, not often	ㄅㄨˋ ㄉㄚˋ
不客氣	不客气	bù kèqì	you're welcome, don't mention it, impolite, rude, blunt	ㄅㄨˋ ㄎㄜˋ ㄑㄧˋ
不用	不用	bùyòng	need not	ㄅㄨˋ ㄩㄥˋ
菜	菜	cài	vegetable, greens, dish, course, food	ㄘㄞˋ
不對	不对	bù duì	incorrect, wrong, amiss, abnormal, queer	ㄅㄨˋ ㄉㄨㄟˋ
差	差	chà	be short, lack	ㄔㄚˋ
不	不	bù	non, do not, no, nowise, not, nope, nae, no more, nix	ㄅㄨˋ
茶	茶	chá	tea	ㄔㄚˊ
常常	常常	chángcháng	oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually	ㄔㄤˊ ㄔㄤˊ
常	常	cháng	often, usually, frequently	ㄔㄤˊ
車	车	chē	vehicle	ㄔㄜ
唱歌	唱歌	chàng gē	sing	ㄔㄤˋ ㄍㄜ
車上	车上	chē shàng	Car	ㄔㄜ ㄕㄤˋ
車票	车票	chēpiào	ticket (for train/bus)	ㄔㄜ ㄆㄧㄠˋ
唱	唱	chàng	cry, chant, chirm, tune, vocalize, call, sing	ㄔㄤˋ
吃	吃	chī	feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up	ㄔ
車站	车站	chēzhàn	station	ㄔㄜ ㄓㄢˋ
