"value","pinyin","english_definition","hsk_level"
"爱","ài","love, like, be fond of, be keen on, cherish, be apt to","1"
"爱好","àihào","love, like, be fond of, be keen on","1"
"爸爸","bàba","old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa","1"
"白","bái","white, clear, pure, plain, wrongly written/mispronounced,","1"
"八","bā","det.: eight","1"
"白天","báitian","daytime, during the day, day, CL:個|个[ge4]","1"
"班","bān","m.[event]","1"
"百","bǎi","cent, centum, century, hundred, det.: hundred","1"
"吧","ba","particle: used to show mild imperative or uncertainty","1"
"半","bàn","det.: half","1"
"半年","bànnián","half a year","1"
"半天","bàntiān","half of the day, a long time, quite a while, midair, CL:個|个[ge4]","1"
"帮","bāng","help","1"
"帮忙","bāng máng","assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn","1"
"包","bāo","wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee","1"
"包子","bāozi","steamed stuffed bun, CL:個|个[ge4]","1"
"杯","bēi","m.[container]","1"
"杯子","bēizi","tumbler, drinking glass, cup, glass","1"
"北边","běibian","north, north side, northern part, to the north of","1"
"本","běn","det.: this","1"
"北京","Běijīng","capital of Red China, Beijing, Peking, Beijing (Peking), Peiping","1"
"北","běi","atomic number 97, northward, north, berkelium, Bk, northern","1"
"本子","běnzi","book, notebook, edition, CL:本[ben3]","1"
"别","bié","don't","1"
"别的","biéde","else, other","1"
"别人","biéren","others, other people, another person","1"
"病","bìng","disease","1"
"病人","bìngrén","shut-in, patient, subject, sufferer, case, valetudinarian, invalid","1"
"比","bǐ","compared with","1"
"不大","bùdà","not very/too, not often","1"
"不客气","bù kèqì","you're welcome, don't mention it, impolite, rude, blunt","1"
"不用","bùyòng","need not","1"
"菜","cài","vegetable, greens, dish, course, food","1"
"不对","bù duì","incorrect, wrong, amiss, abnormal, queer","1"
"差","chà","be short, lack","1"
"不","bù","non, do not, no, nowise, not, nope, nae, no more, nix","1"
"茶","chá","tea","1"
"常常","chángcháng","oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually","1"
"常","cháng","often, usually, frequently","1"
"车","chē","vehicle","1"
"唱歌","chàng gē","sing","1"
"车上","chē shàng","Car","1"
"车票","chēpiào","ticket (for train/bus)","1"
"唱","chàng","cry, chant, chirm, tune, vocalize, call, sing","1"
"吃","chī","feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up","1"
"车站","chēzhàn","station","1"
"吃饭","chī fàn","feed, dine, make a living, keep alive, have a meal, eat","1"
"出来","chū lai","come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge","1"
"出","chū","produce, turn out, arise, happen","1"
"出去","chū qu","go_out, go/get out, get_out, go out, get out, go, exit","1"
"床","chuáng","bed","1"
"次","cì","order, sequence, next","1"
"穿","chuān","to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread","1"
"错","cuò","wrong, mistaken, bad, poor, confused, complex","1"
"从","cóng","from, since, through","1"
"打","dǎ","generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix","1"
"打车","dǎchē","to take a taxi (in town), to hitch a lift","1"
"打电话","dǎ diànhuà","make telephone call","1"
"打开","dǎ kāi","unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop","1"
