hanzi,other_hanzi,relation
㐀,丘,semantic
㐅,五,semantic
㐊,㐋,spoofing
㐋,㐊,spoofing
㐫,凶,semantic
㐮,襄,semantic
㐯,庸,semantic
㐱,鬒,semantic
㐴,攀,semantic
㐵,儒,semantic
㐷,傌,traditional
㐹,㑶,traditional
㐽,偑,traditional
㑁,𠭴,semantic
㑄,侮,semantic
㑇,㑳,traditional
㑈,倲,traditional
㑌,尩,semantic
㑔,㑯,traditional
㑝,𢙱,semantic
㑩,儸,traditional
㑮,𫝈,simplified
㑯,㑔,simplified
㑳,㑇,simplified
㑶,㐹,simplified
㑺,儁,traditional
㒇,儛,semantic
㒋,廝,semantic
㒋,厮,semantic
㒓,𠉂,simplified
㒖,𮯵,simplified
㒚,穩,semantic
㒜,𠇐,simplified
㒞,儶,semantic
㒣,𬾖,simplified
㒨,𠑗,spoofing
㒰,全,semantic
㒲,財,semantic
㒷,興,semantic
㒿,𰖩,simplified
㓁,网,semantic
㓄,𪠟,simplified
㓓,湳,spoofing
㓕,滅,spoofing
㓖,𰃻,simplified
㓖,滭,spoofing
㓗,潔,spoofing
㓥,劏,traditional
㓨,刾,simplified
㓮,彫,semantic
㓮,雕,semantic
㓷,劓,semantic
㓸,斲,semantic
㔃,𫦌,simplified
㔅,𫦅,simplified
㔉,劚,traditional
㔋,𪟎,simplified
㔍,䥷,semantic
㔝,𫦩,simplified
㔢,𫦳,simplified
㔱,斞,semantic
㔾,卩,semantic
㕑,𢊍,semantic
㕑,厨,semantic
㕒,𰆕,simplified
㕚,爪,semantic
㕚,爫,semantic
㕞,刷,semantic
㕢,𰇀,simplified
㖈,䎛,z-variant
㖊,噚,traditional
㖞,喎,traditional
㖦,𰇎,simplified
㖮,𪠵,simplified
㗖,啖,semantic
㗖,噉,semantic
㗖,啗,semantic
㗙,𫩩,simplified
㗢,𰇖,simplified
㗣,𫪺,simplified
㗰,𫩛,simplified
㗲,𠵾,simplified
㗳,嗒,semantic
㗶,𭇜,simplified
㗻,𫪀,simplified
㗼,𫩤,simplified
㗿,𪡛,simplified
㘅,銜,semantic
㘅,啣,semantic
㘎,㘚,traditional
㘓,𪢌,simplified
㘔,𫬐,simplified
㘖,𰉁,simplified
㘙,𫪂,simplified
㘚,㘎,simplified
㘤,𡈛,simplified
㘽,栽,semantic
㘽,㦳,z-variant
㙔,𰉘,simplified
㙡,𭎂,simplified
㙢,𰊟,simplified
㙬,𫮜,simplified
㙮,塔,semantic
㙳,轗,semantic
㙺,𰊛,simplified
㙾,𰉽,simplified
㚝,奞,semantic
㚝,奎,semantic
㚣,姣,semantic
㚯,𮰻,spoofing
㚯,㜄,traditional
㛀,媰,traditional
㛍,𮰿,simplified
㛛,娠,semantic
㛝,𫝦,simplified
㛟,𡞵,traditional
㛠,𡢃,traditional
㛣,㜏,traditional
㛤,孋,traditional
㛿,𡠹,traditional
㜄,㚯,simplified
㜏,㛣,simplified
㜐,𫝧,simplified
㜕,𮱇,simplified
㜗,𡞋,simplified
㜞,𰌆,simplified
㜢,𡞱,simplified
㜥,𫰨,simplified
㜭,𫰠,simplified
㜮,𫱕,simplified
㜰,𮰽,simplified
㜷,𡝠,simplified
㜺,𫲗,simplified
㝃,娩,semantic
㝛,宿,semantic
㝞,𫳃,simplified
㝟,𫤸,simplified
㝦,寯,semantic
㝦,𮱠,semantic
㝦,寯,traditional
㝵,礙,semantic
㝵,碍,semantic
㝷,𡬶,semantic
㞐,居,semantic
㞞,𪨊,simplified
㟆,㠏,traditional
㟗,邠,semantic
㟗,豳,semantic
㟜,𡾱,traditional
㟢,埼,semantic
㟢,崎,semantic
㟢,嵜,semantic
㟢,碕,semantic
㟢,陭,semantic
㟢,﨑,semantic
㟢,𥔎,semantic
㟥,嵾,traditional
㟦,𮱩,simplified
㟺,𪩇,simplified
㠁,𫶅,simplified
㠆,𮱯,simplified
㠊,嶇,semantic
㠏,㟆,simplified
㠠,𰎐,simplified
㠣,𫵷,simplified
㠯,以,semantic
㠶,帆,semantic
㡅,𣍓,semantic
㡎,幓,traditional
㡓,𫷅,simplified
㡘,𢅏,semantic
㡞,𰏜,simplified
㡿,斥,semantic
㢗,𪪑,simplified
㢝,𢋈,simplified
㢴,西,semantic
㣶,邅,semantic
㣺,心,semantic
㣺,忄,semantic
㣼,忍,semantic
㤒,笨,semantic
㤖,懧,traditional
㤘,㥮,traditional
㤭,憍,traditional
㤲,𫺁,simplified
㤵,慈,semantic
㤽,懤,traditional
㥃,悶,semantic
㥃,懣,semantic
㥪,慺,traditional
㥮,㤘,simplified
㥵,慁,semantic
㥷,𰑸,simplified
㦈,𢣏,traditional
㦊,𫺆,simplified
㦎,𢛯,simplified
㦖,𫺓,simplified
㦛,𢗓,simplified
㦞,𪫷,simplified
㦡,𮲃,simplified
㦦,𫻁,simplified
㦧,憯,semantic
㦬,𰑫,simplified
㦭,𭝋,simplified
㦳,㘽,z-variant
㧃,收,semantic
㧏,掆,traditional
㧐,㩳,traditional
㧑,撝,traditional
㧖,扼,semantic
㧖,搤,semantic
㧛,擥,traditional
㧜,擸,semantic
㧟,擓,traditional
㧰,擽,traditional
㨉,抿,semantic
㨗,捷,semantic
㨛,𰓔,simplified
㨟,𫼥,simplified
㨥,𫽀,simplified
㨨,㩅,semantic
㨫,㩜,traditional
㨻,𪮃,simplified
㨼,撂,semantic
㩁,搉,semantic
㩁,搉,z-variant
㩅,㨨,semantic
㩇,𫽇,simplified
㩋,𪮋,simplified
㩌,𫽧,simplified
㩜,攬,semantic
㩜,擥,semantic
㩜,㨫,simplified
㩣,𫾉,simplified
㩭,𫽊,simplified
㩳,㧐,simplified
㩵,擜,simplified
㩷,𰔲,simplified
㩹,𢶣,semantic
㩹,𢶣,simplified
㪅,更,semantic
㪎,𪯋,simplified
㪯,舉,semantic
㪹,𬖠,simplified
㫃,偃,semantic
㫎,幑,semantic
㫎,𣄈,semantic
㫚,昒,semantic
㫚,曶,z-variant
㬅,曼,semantic
㬢,𮲛,simplified
㬣,𬀮,simplified
㬮,𰖠,simplified
㬱,朁,semantic
㬵,胶,spoofing
㬹,踭,semantic
㬺,幐,spoofing
㬻,䐠,spoofing
㬿,𫜶,spoofing
㭎,棡,traditional
㭏,椲,traditional
㭑,枺,spoofing
㭒,耜,semantic
㭣,𣙎,traditional
㭤,樢,traditional
㭨,椰,semantic
㭴,樫,traditional
㮓,𣕲,simplified
㮝,𣒗,simplified
㮠,𣞁,traditional
㮣,槩,semantic
㮣,槪,semantic
㮣,槩,z-variant
㮲,𰗙,simplified
㮿,𮲰,simplified
㯂,𰘀,simplified
㯃,漆,semantic
㯃,桼,semantic
㯆,𰗡,simplified
㯤,𣘐,simplified
㯭,樐,semantic
㯭,櫓,semantic
㯶,棕,semantic
㯸,𰗦,simplified
㯼,𣙥,simplified
㯽,檳,semantic
㰂,𰗵,simplified
㰄,𮲶,simplified
㰅,𭫙,simplified
㰍,櫳,semantic
㰍,𬺜,simplified
㰰,𬅢,simplified
㰳,𭭈,simplified
㱩,殰,traditional
㱮,殨,traditional
㱿,殼,semantic
㱿,壳,semantic
㲒,勽,semantic
㲓,毧,semantic
㲯,𰚪,simplified
㲰,𰚔,simplified
㲲,𬇇,simplified
㲿,瀇,traditional
㳄,涎,semantic
㳔,濧,traditional
㳕,灡,traditional
㳠,澾,traditional
㳡,濄,traditional
㳢,𣾷,traditional
㳽,㳽,simplified
㳽,㳽,traditional
㳽,瀰,traditional
㴋,潚,traditional
㴑,溯,semantic
㴔,潝,semantic
㴸,𰛛,simplified
㴿,𰛽,simplified
㵍,𬇰,simplified
㵑,𰜢,simplified
㵒,沸,semantic
㵒,𬈕,simplified
㵗,𣳆,simplified
㵤,𬉇,simplified
㵾,𪷍,simplified
㶆,𫞛,simplified
㶉,鸂,traditional
㶌,𣾍,simplified
㶍,𰝟,simplified
㶏,𰝋,simplified
㶒,𰛩,simplified
㶕,𰝗,simplified
㶥,𮳚,spoofing
㶶,燶,traditional
㶽,煱,traditional
㷃,𰝾,simplified
㷉,熨,semantic
㷍,𤆢,simplified
㷠,燐,semantic
㷠,粦,semantic
㷪,𤎱,traditional
㷲,𰞉,simplified
㷶,𰞲,simplified
㷻,煳,semantic
㷻,𭴊,simplified
㷿,𤈷,simplified
㸅,𰞍,simplified
㸊,𬋍,simplified
㸐,𬊾,simplified
㹓,𰠴,simplified
㹽,𫞣,simplified
㺍,獱,traditional
㺏,𤠋,simplified
㺑,𬌷,simplified
㺜,𪺻,simplified
㺻,𮴋,spoofing
㺿,𮴐,spoofing
㻅,璯,traditional
㻏,𤫩,traditional
㻘,𤪺,traditional
㻪,㻽,traditional
㻶,𪼋,simplified
㻽,㻪,simplified
㼀,𮴘,simplified
㼁,𮴂,simplified
㼆,𬎆,simplified
㼈,𭹜,simplified
㼻,𬎧,simplified
㽣,域,semantic
㽽,痼,semantic
㾙,脪,semantic
㾡,𤷽,traditional
㾵,𬏟,simplified
㾺,𬏜,simplified
㿉,𰣶,simplified
㿎,𬏷,simplified
㿖,𪽮,simplified
㿗,𤻊,simplified
㿟,皦,semantic
㿟,皎,semantic
㿧,𤽯,simplified
㿷,糙,semantic
㿹,𰤨,simplified
䀉,𥁢,simplified
䀋,鹽,semantic
䀍,𰥊,simplified
䀑,𮵅,spoofing
䀠,瞿,semantic
䀡,䦓,semantic
䀡,覘,semantic
䀢,瞬,semantic
䀥,䁻,traditional
䀴,𬑏,simplified
䀹,睫,semantic
䀹,𥅴,simplified
䀹,鿃,spoofing
䀿,晣,spoofing
䁖,瞜,traditional
䁝,𰥞,simplified
䁪,𥇢,simplified
䁱,𬑒,simplified
䁻,䀥,simplified
䂀,𥋟,semantic
䂎,𥎝,simplified
䂓,𰦔,simplified
䂫,夯,semantic
䂵,碽,traditional
䃁,𰦴,simplified
䃅,磾,traditional
䃉,珉,semantic
䃕,𰦷,simplified
䃘,硜,semantic
䃘,𬒎,simplified
䃢,𰧎,simplified
䃣,𰦨,simplified
䃤,𬒕,simplified
䃮,鿎,simplified
䃴,𰧘,simplified
䄃,殃,semantic
䄍,蜡,semantic
䄯,𢆞,semantic
䄺,稊,semantic
䅂,𮵡,spoofing
䅉,稏,traditional
䅐,𫀨,simplified
䅘,𥟂,simplified
䅟,穇,traditional
䅪,𥢢,traditional
䅳,𫀬,simplified
䆅,𰨳,simplified
䆉,𫁂,simplified
䆋,秋,semantic
䆋,龝,spoofing
䆔,竉,semantic
䆫,窓,semantic
䆫,窗,semantic
䆼,窠,semantic
䇓,𰩧,simplified
䇚,𥵜,traditional
䇲,筴,traditional
䈇,罩,semantic
䉆,𮵮,simplified
䉍,𬕊,simplified
䉐,𬕛,simplified
䉑,𫁲,simplified
䉙,𥬀,simplified
䉤,籔,traditional
䉬,𫂈,simplified
䉱,𬕦,simplified
䉲,𥮜,simplified
䉵,饌,semantic
䉵,籑,semantic
䉶,𫁷,simplified
䊜,糰,semantic
䊜,𰪫,simplified
䊟,𰫋,simplified
䊭,𥺅,simplified
䊲,𬡻,simplified
䊵,𮉠,simplified
䊷,䌶,simplified
䊺,𫄚,simplified
䋃,𫄜,simplified
䋆,𰬁,simplified
