hanzi,trad,radical_no,stroke_count,hsk_char_level,hsk_write_lvl,freq_rank
㐀,,1,5,,,
㐁,,1,6,,,
㐂,,1,6,,,
㐃,,2,3,,,
㐄,,2,3,,,
㐅,,4,2,,,
㐆,,4,6,,,
㐇,,5,3,,,
㐈,,5,3,,,
㐉,,5,3,,,
㐊,,5,4,,,
㐋,,5,4,,,
㐌,,5,5,,,
㐍,,5,5,,,
㐎,,5,5,,,
㐏,,5,5,,,
㐐,,5,6,,,
㐑,,5,6,,,
㐒,,5,6,,,
㐓,,5,6,,,
㐔,,5,6,,,
㐕,,5,6,,,
㐖,,5,7,,,
㐗,,5,7,,,
㐘,,5,7,,,
㐙,,5,8,,,
㐚,,5,8,,,
㐛,,5,8,,,
㐜,,5,9,,,
㐝,,5,9,,,
㐞,,5,9,,,
㐟,,5,9,,,
㐠,,5,9,,,
㐡,,5,11,,,
㐢,,5,11,,,
㐣,,5,11,,,
㐤,,5,12,,,
㐥,,5,16,,,
㐦,,5,19,,,
㐧,,6,4,,,
㐨,,6,8,,,
㐩,,7,8,,,
㐪,,8,6,,,
㐫,,8,6,,,
㐬,,8,7,,,
㐭,,8,8,,,
㐮,,8,13,,,
㐯,,8,17,,,
㐰,,9,5,,,
㐱,,9,5,,,
㐲,,9,5,,,
㐳,,9,5,,,
㐴,,9,5,,,
㐵,,9,5,,,
㐶,,9,5,,,
㐷,,9,5,,,
㐸,,9,6,,,
㐹,,9,6,,,
㐺,,9,6,,,
㐻,,9,6,,,
㐼,,9,6,,,
㐽,,9,6,,,
㐾,,9,6,,,
㐿,,9,6,,,
㑀,,9,6,,,
㑁,,9,7,,,
㑂,,9,7,,,
㑃,,9,7,,,
㑄,,9,7,,,
㑅,,9,7,,,
㑆,,9,7,,,
㑇,,9,7,,,
㑈,,9,7,,,
㑉,,9,8,,,
㑊,,9,8,,,
㑋,,9,8,,,
㑌,,9,8,,,
㑍,,9,8,,,
㑎,,9,8,,,
㑏,,9,8,,,
㑐,,9,8,,,
㑑,,9,8,,,
㑒,,9,8,,,
㑓,,9,8,,,
㑔,,9,8,,,
㑕,,9,8,,,
㑖,,9,8,,,
㑗,,9,9,,,
㑘,,9,9,,,
㑙,,9,9,,,
㑚,,9,9,,,
㑛,,9,9,,,
㑜,,9,9,,,
㑝,,9,9,,,
㑞,,9,9,,,
㑟,,9,9,,,
㑠,,9,9,,,
㑡,,9,9,,,
㑢,,9,9,,,
㑣,,9,10,,,
㑤,,9,11,,,
㑥,,9,10,,,
㑦,,9,10,,,
㑧,,9,10,,,
㑨,,9,10,,,
㑩,,9,10,,,
㑪,,9,10,,,
㑫,,9,10,,,
㑬,,9,10,,,
㑭,,9,10,,,
㑮,,9,11,,,
㑯,,9,11,,,
㑰,,9,11,,,
㑱,,9,11,,,
㑲,,9,11,,,
㑳,,9,12,,,
㑴,,9,12,,,
㑵,,9,12,,,
㑶,,9,12,,,
㑷,,9,12,,,
㑸,,9,12,,,
㑹,,9,12,,,
㑺,,9,12,,,
㑻,,9,13,,,
㑼,,9,13,,,
㑽,,9,13,,,
㑾,,9,13,,,
㑿,,9,13,,,
㒀,,9,13,,,
㒁,,9,13,,,
㒂,,9,14,,,
㒃,,9,14,,,
㒄,,9,14,,,
㒅,,9,14,,,
㒆,,9,14,,,
㒇,,9,14,,,
㒈,,9,14,,,
㒉,,9,14,,,
㒊,,9,14,,,
㒋,,9,14,,,
㒌,,9,14,,,
㒍,,9,14,,,
㒎,,9,14,,,
㒏,,9,14,,,
㒐,,9,14,,,
㒑,,9,15,,,
㒒,,9,15,,,
㒓,,9,15,,,
㒔,,9,15,,,
㒕,,9,15,,,
㒖,,9,15,,,
㒗,,9,15,,,
㒘,,9,15,,,
㒙,,9,16,,,
㒚,,9,16,,,
㒛,,9,16,,,
㒜,,9,16,,,
㒝,,9,17,,,
㒞,,9,17,,,
㒟,,9,18,,,
㒠,,9,18,,,
㒡,,9,19,,,
㒢,,9,19,,,
㒣,,9,19,,,
㒤,,9,20,,,
㒥,,9,20,,,
㒦,,9,20,,,
㒧,,9,21,,,
㒨,,9,21,,,
㒩,,9,23,,,
㒪,,9,26,,,
㒫,,10,6,,,
㒬,,10,8,,,
㒭,,10,10,,,
㒮,,10,11,,,
㒯,,10,18,,,
㒰,,11,5,,,
㒱,,11,5,,,
㒲,,11,6,,,
㒳,,11,7,,,
㒴,,11,7,,,
㒵,,12,7,,,
㒶,,12,7,,,
㒷,,12,7,,,
㒸,,12,9,,,
㒹,,12,20,,,
㒺,,13,8,,,
㒻,,13,11,,,
㒼,,13,11,,,
㒽,,13,12,,,
㒾,,13,13,,,
㒿,,13,22,,,
㓀,,14,4,,,
㓁,,14,4,,,
㓂,,14,9,,,
㓃,,14,12,,,
㓄,,14,15,,,
㓅,,15,4,,,
㓆,,15,6,,,
㓇,,15,6,,,
㓈,,15,7,,,
㓉,,15,8,,,
㓊,,15,8,,,
㓋,,15,8,,,
㓌,,15,8,,,
㓍,,15,8,,,
㓎,,15,9,,,
㓏,,15,9,,,
㓐,,15,10,,,
㓑,,15,10,,,
㓒,,15,10,,,
㓓,,15,11,,,
㓔,,15,12,,,
㓕,,15,12,,,
㓖,,15,13,,,
㓗,,15,14,,,
㓘,,16,11,,,
㓙,,17,6,,,
㓚,,18,5,,,
㓛,,18,5,,,
㓜,,18,5,,,
㓝,,18,6,,,
㓞,,18,6,,,
㓟,,18,7,,,
㓠,,18,7,,,
㓡,,18,8,,,
㓢,,18,8,,,
㓣,,18,8,,,
㓤,,18,8,,,
㓥,,18,8,,,
㓦,,18,8,,,
㓧,,18,9,,,
㓨,,18,9,,,
㓩,,18,9,,,
㓪,,18,9,,,
㓫,,18,9,,,
㓬,,18,10,,,
㓭,,18,10,,,
㓮,,18,10,,,
㓯,,18,10,,,
㓰,,18,10,,,
㓱,,18,11,,,
㓲,,18,11,,,
㓳,,18,11,,,
㓴,,18,11,,,
㓵,,18,11,,,
㓶,,18,11,,,
㓷,,18,12,,,
㓸,,18,12,,,
㓹,,18,12,,,
㓺,,18,12,,,
㓻,,18,12,,,
㓼,,18,13,,,
㓽,,18,13,,,
㓾,,18,14,,,
㓿,,18,14,,,
㔀,,18,14,,,
㔁,,18,14,,,
㔂,,18,14,,,
㔃,,18,14,,,
㔄,,18,14,,,
㔅,,18,14,,,
㔆,,18,14,,,
㔇,,18,14,,,
㔈,,18,14,,,
㔉,,18,14,,,
㔊,,18,15,,,
㔋,,18,16,,,
㔌,,18,16,,,
㔍,,18,16,,,
㔎,,18,17,,,
㔏,,18,17,,,
㔐,,18,18,,,
㔑,,18,19,,,
㔒,,18,20,,,
㔓,,19,5,,,
㔔,,19,6,,,
㔕,,19,6,,,
㔖,,19,6,,,
㔗,,19,7,,,
㔘,,19,7,,,
㔙,,19,8,,,
㔚,,19,8,,,
㔛,,19,8,,,
㔜,,19,9,,,
㔝,,19,10,,,
㔞,,19,10,,,
㔟,,19,10,,,
㔠,,19,11,,,
㔡,,19,12,,,
㔢,,19,14,,,
㔣,,19,17,,,
㔤,,19,17,,,
㔥,,19,17,,,
㔦,,19,17,,,
㔧,,19,18,,,
㔨,,20,11,,,
㔩,,20,12,,,
㔪,,20,13,,,
㔫,,21,4,,,
㔬,,21,8,,,
㔭,,21,11,,,
㔮,,130,21,,,
㔯,,22,7,,,
㔰,,22,7,,,
㔱,,22,11,,,
㔲,,22,13,,,
㔳,,22,13,,,
㔴,,22,13,,,
㔵,,22,14,,,
㔶,,22,26,,,
㔷,,23,7,,,
㔸,,23,12,,,
㔹,,24,4,,,
㔺,,24,6,,,
㔻,,24,6,,,
㔼,,24,13,,,
㔽,,25,8,,,
㔾,,26,3,,,
㔿,,26,3,,,
㕀,,26,7,,,
㕁,,26,8,,,
㕂,,27,6,,,
㕃,,27,6,,,
㕄,,27,6,,,
㕅,,27,7,,,
㕆,,27,7,,,
㕇,,27,7,,,
㕈,,27,8,,,
㕉,,27,8,,,
㕊,,27,9,,,
㕋,,27,10,,,
㕌,,27,10,,,
㕍,,27,10,,,
㕎,,27,12,,,
㕏,,27,13,,,
㕐,,27,14,,,
㕑,,27,14,,,
㕒,,27,15,,,
㕓,,27,17,,,
㕔,,27,24,,,
㕕,,28,4,,,
㕖,,28,10,,,
㕗,,28,11,,,
㕘,,28,11,,,
㕙,,28,15,,,
㕚,,29,4,,,
㕛,,29,4,,,
㕜,,29,6,,,
㕝,,29,7,,,
㕞,,29,8,,,
㕟,,29,9,,,
㕠,,29,12,,,
㕡,,29,14,,,
㕢,,154,14,,,
㕣,,30,5,,,
㕤,,30,5,,,
㕥,,30,5,,,
㕦,,30,6,,,
㕧,,30,6,,,
㕨,,30,6,,,
㕩,,30,7,,,
㕪,,30,7,,,
㕫,,30,7,,,
㕬,,30,7,,,
㕭,,30,7,,,
㕮,,30,7,,,
㕯,,30,7,,,
㕰,,30,7,,,
㕱,,30,7,,,
㕲,,30,7,,,
㕳,,30,7,,,
㕴,,30,7,,,
㕵,,30,7,,,
㕶,,30,7,,,
㕷,,30,8,,,
㕸,,30,8,,,
㕹,,30,8,,,
㕺,,30,8,,,
㕻,,30,8,,,
㕼,,30,8,,,
㕽,,30,8,,,
㕾,,30,8,,,
㕿,,30,8,,,
㖀,,30,9,,,
㖁,,30,9,,,
㖂,,30,9,,,
㖃,,30,9,,,
㖄,,30,9,,,
㖅,,30,9,,,
㖆,,30,9,,,
㖇,,30,9,,,
㖈,,30,9,,,
㖉,,30,9,,,
㖊,,30,9,,,
㖋,,30,9,,,
㖌,,30,9,,,
㖍,,30,9,,,
㖎,,30,9,,,
㖏,,30,10,,,
㖐,,30,10,,,
㖑,,30,10,,,
㖒,,30,10,,,
㖓,,30,10,,,
㖔,,30,10,,,
㖕,,30,10,,,
㖖,,30,10,,,
㖗,,30,10,,,
㖘,,30,10,,,
㖙,,30,10,,,
㖚,,30,10,,,
㖛,,30,10,,,
㖜,,30,10,,,
㖝,,30,10,,,
㖞,,30,10,,,
㖟,,30,11,,,
㖠,,30,11,,,
㖡,,30,11,,,
㖢,,30,11,,,
㖣,,30,11,,,
㖤,,30,11,,,
㖥,,30,11,,,
㖦,,30,11,,,
㖧,,30,11,,,
㖨,,30,11,,,
㖩,,30,11,,,
㖪,,30,11,,,
㖫,,30,11,,,
㖬,,30,11,,,
㖭,,30,11,,,
㖮,,30,11,,,
㖯,,30,11,,,
㖰,,30,11,,,
㖱,,30,11,,,
㖲,,30,11,,,
㖳,,30,11,,,
㖴,,30,11,,,
㖵,,30,11,,,
㖶,,30,12,,,
㖷,,30,12,,,
㖸,,30,12,,,
㖹,,30,12,,,
㖺,,30,12,,,
㖻,,30,12,,,
㖼,,30,12,,,
㖽,,30,12,,,
㖾,,30,12,,,
㖿,,30,12,,,
㗀,,30,12,,,
㗁,,30,12,,,
㗂,,30,12,,,
㗃,,30,12,,,
㗄,,30,12,,,
㗅,,30,12,,,
㗆,,30,12,,,
㗇,,30,12,,,
㗈,,30,12,,,
㗉,,30,12,,,
㗊,,30,12,,,
㗋,,30,12,,,
㗌,,30,12,,,
㗍,,30,12,,,
㗎,,30,12,,,
㗏,,30,12,,,
㗐,,30,12,,,
㗑,,30,12,,,
㗒,,30,13,,,
㗓,,30,13,,,
㗔,,30,13,,,
㗕,,30,13,,,
㗖,,30,13,,,
㗗,,30,13,,,
㗘,,30,13,,,
㗙,,30,13,,,
㗚,,30,13,,,
㗛,,30,13,,,
㗜,,30,13,,,
㗝,,30,13,,,
㗞,,30,13,,,
㗟,,30,13,,,
㗠,,30,13,,,
㗡,,30,13,,,
㗢,,30,14,,,
㗣,,30,14,,,
㗤,,30,14,,,
㗥,,30,14,,,
㗦,,30,14,,,
