"hanzi","pinyin","english_definition"
"洼","waa1",
"𢤁","sào",
"慇","jan1",
"𨦫","jyu5",
"𢘫","zing1",
"㦺","rù",
"𠬙","sā",
"𦔭","mò",
"㘺","fat6",
"䱮","é",
"阷","cing1",
"鹲","mung4",
"敀","baak3",
"䞑","hung4",
"𤟥","tai4",
"𢪼","náo",
"揭","kit3",
"𫉁","oi3",
"氨","on1",
"𣚏","xū",
"怫","fat6",
"㽼","jan5",
"𠷂","dài",
"𦬹","dá,dàn",
"䜖","tàn",
"𧸘","liàn,biǎn,jiǎn",
"㔦","yǎng",
"䭚","cong4",
"闫","jim4",
"𡼘","hū",
"欚","lai5",
"齇","zaa1",
"𢘌","hóng",
"𦦫","yú",
"𡛀","tong2",
"𠗽","liú",
"𦂒","qián",
"㳍","bou3",
"䏸","yú",
"𥉐","hai5",
"铝","leoi5",
"𣈎","wèi",
"鰈","dip6",
"𫰹","kwai1",
"𧳪","wèi",
"稼","gaa3",
"枫","fung1",
"𠳁","kwan3",
"𦓳","gǒng",
"瘺","lau6",
"发","faat3",
"𣧍","nè",
"辏","cau3",
"𪚩","gwi1",
"魉","loeng5",
"㭱","haap6",
"箥","bai1",
"裎","cing4",
"暝","ming4",
"鴏","dak6",
"溘","hap6",
"瓬","fong2",
"䓿","ham6",
"嫮","wu6",
"𦜷","gèng",
"蹁","pin4",
"𡃴","ceoi4",
"䊞","zaak6",
"𧄠","zhá",
"𣓐","yóu",
"骦","soeng1",
"𥥥","shì",
"讴","au1",
"𤿟","xún",
"𠥨","móu",
"螲","dit6",
"晉","zeon3",
"䄥","ling4",
"涄","ping1",
"𩒈","zhěn",
"珘","zau1",
"冧","lam1",
"䋳","bui3",
"妢","fan4",
"𧿒","dam6",
"购","gau3",
"𠐍","sú",
"繓","dyut3",
"𩨭","quē",
"攻","gung1",
"胙","zou6",
"汶","man6",
"愹","jung5",
"𱂴","gong2",
"𣇙","zǔ",
"鳠","wu6",
"𣝉","duì",
"㙴","chàn",
"䲨","hung4",
"阹","keoi1",
"𦳭","lǚ",
"鵾","kwan1",
"𦏔","jiān",
"𨁂","xié",
"𥊫","guàn",
"𩕊","zhǎn",
"辖","hat6",
"㗤","cù",
"𨷐","yūn",
"揯","gang1",
"瞖","ai3",
"𦍺","zì",
"急","gap1",
"𰾝","seng3",
"𨀅","yǎn",
"𢬫","tìng",
"𦰖","wò",
"穊","gei3",
"䭜","liu4",
"锥","zeoi1",
"𣇇","dàn",
"欌","cong4",
"𡱌","huán",
"𡄴","huò",
"䣷","zyu1",
"𨕦","qiù",
"㲿","wong2",
"䏺","pong1",
"铗","gaap3",
"鰂","caak6",
"𡽛","zuǐ",
"𧇚","bó",
"𰞻","fan4",
"𥲊","liáo",
"𰽼","beng2",
"𬸆","sang1",
"種","zung2",
"枥","lik1",
"𧔮","yǐ",
"瘴","zoeng3",
"吃","hek3",
"𥥽","qiú",
"𥊾","xiǎng",
"辉","fai1",
"𩍏","fù",
"𦙀","pàn",
"㮫","hé,xiá,qià",
"箧","haap6",
"䎦","yǎn",
"暗","am3",
"鎻","so2",
"甦","sou1",
"劵","hyun3",
"𮣳","wang4",
"嫰","nyun6",
"𠈸","tè",
"踻","gwaa1",
"𤑃","xiàn",
"䊘","jiù",
"䕒","gaa1",
"骨","gwat1",
"𠓿","qín",
"𤶀","jiǎo",
"𧮈","jiǎn",
"讶","ngaa6",
"虥","zaan6",
"螬","cou4",
"晋","zeon3",
"𫇽","nung4",
"浶","lou4",
"㝂","zhì,zhè",
"珊","saan1",
"冡","mung4",
"姜","goeng1",
"𢙁","wù",
"㐾","wun6",
"𦔷","yāo",
"𦸯","shēn",
"䅼","mán,màn",
"攽","baan1",
"汨","mik6",
"𤝛","tuó",
"愳","geoi6",
"𢱣","jí",
"𩽁","biāo",
"贑","gam3",
"㕝","si6",
"𡝭","mou6",
"㙶","tong4",
"鯰","nim4",
"䲪","xì",
"阳","joeng4",
"𠗃","jan1",
"鹞","jiu6",
"𥣝","biǎn",
"㔁","dēng",
"魋","teoi4",
"鷙","zi3",
"搩","git6",
"𠍽","ce2",
"瞐","mok6",
"龯","mou6",
"輱","haam4",
"𡩩","máng",
"𥌯","méng",
"茇","baat6",
"𣢒","yú",
"㔢","dyut3",
"𤕊","shén",
"䭖","zyu3",
"锗","ze2",
"欆","soeng1",
"䇌","ciu3",
"𨓁","běng",
"㲹","guǐ",
"䏴","shào",
"铉","jyun5",
"𢈓","yòu",
"鰄","wai1",
"𣾷","kiu4",
"𱈋","hou6",
"稨","bin2",
"枧","gaan2",
"𦫔","pō",
"槽","cou4",
"瘦","sau3",
"叽","gei1",
"轻","hing1",
"𣀷","lǐ,lí",
"㮭","xián",
"管","gun2",
"䏘","pat1",
"暙","ceon1",
"滄","cong1",
"甘","gam1",
"劯","zyu2",
"嫪","lou6",
"蹭","sang3",
"𠷏","wō",
"𧤍","chì,tì",
"䊊","mei6",
"𨽲","líng",
"銧","gwong1",
"𩔡","dōu",
"骢","cung1",
"𫍥","tiu5",
"𨟚","ráng",
"记","gei3",
"𠾲","yuè",
"𱅜","jiu5",
"螮","dai3",
"斅","haau6",
"涰","zyut3",
"琄","jyun5",
"冣","zeoi3",
"姎","yāng",
"𪎌","loi4",
"贙","jyun5",
"𩄋","rú",
"𦏆","tóng",
"𦞬","jīn,jiàn",
"䅶","nòu",
"攷","haau2",
"𠖥","cung2",
"汢","tou2",
"𥭌","jì",
"𫜁","bai3",
"愵","nik6",
"𧑘","dàng",
"𰈮","aak3",
"贋","ngaan6",
"𩚛","nà",
"𫬐","coi3",
"㙰","xiè",
"𩆫","shǎn",
"䲤","zau2",
"阥","jam1",
"𪉚","jiē",
"鹠","lau4",
"𠠜","yīng",
"𤙏","qù",
"𣖅","tí",
"鴑","jyu4",
"搛","gim1",
"汖","pan3",
"𪲛","gai3",
"𢝍","yào",
"怡","ji4",
"𠤼","diào",
"𣰋","qú",
"𨘀","juk1",
"㕔","teng1",
"𩝣","dā",
"優","jau1",
"锑","tai1",
"欈","wai4",
"弓","gung1",
"䪨","báo",
"眰","dit6",
"㲻","nik6",
"䏦","gwaat3",
"𩓪","lù",
"锃","caang3",
"䋽","běng",
"鯾","bin1",
"𠛓","liǔ",
"㖫","ling4",
"頼","laai6",
"葵","kwai4",
"稪","fuk1",
"柡","wing5",
"𧵻","huó",
"𧭤","bào,báo",
"畠","tin4",
"叿","hung1",
"𣖯","qìn",
"轵","zi2",
"𨑩","dì",
"𫛝","fun1",
"㮧","wu1",
"𰝍","fai1",
"䏒","pin3",
"暓","mau6",
"𤁿","wěi",
"溾","aai1",
"甒","mou5",
"励","lai6",
"胨","dung3",
"嫜","zoeng1",
"蹧","zou1",
"𩘱","shuài",
"𩽴","nián",
"𦧝","tiān",
"𩔮","bān",
"䊄","kung4",
"銩","diu1",
"𦉪","sei3",
"體","tai2",
"𪒙","cuō",
"订","ding3",
"𢻟","jiǎo",
"螨","mun5",
"敷","fu1",
"𢾧","zhēng",
"液","jik6",
"理","lei5",
"冝","ji4",
"𣶤","shā",
"姈","ling4",
"𢞇","rě",
"䤁","cén",
"𡈶","léi",
"𥉶","lù",
"䅸","shēn,zú",
"攩","dong2",
"汤","tong1",
"𦃕","hǔn",
"慯","soeng1",
"𰣼","zik1",
"贍","sin6",
"㙢","mán",
"䲖","chóu",
"陟","zik1",
"𠕊","tǐng",
"鹚","ci4",
"𨖵","jiǎo",
"𦦅","còu",
"𤦏","cung1",
"𣙴","jié",
"𱊑","ceon1",
"脍","kui2",
"锵","coeng1",
"搕","hap6",
"䝥","hou4",
"汐","zik6",
"鼟","tang1",
"怓","naau4",
"𡽢","dí",
"𥹍","zhù",
"𥷩","zá",
"㕎","hap6",
"𱰭","zī",
"儬","cing3",
"指","zi2",
"𫐈","bat6",
"癮","jan5",
"弅","fan5",
"𬭚","deoi6",
"𬢋","tiu3",
"鯷","tai4",
"𢏦","shěn",
"㲵","siu1",
"𪛒","lián",
"䏠","qì,lā",
"锅","wo1",
"𥛞","lù",
"鰰","san4",
"𰂭","ci3",
"頶","huk6",
"𥱁","sè",
"稤","loek6",
"蹼","buk6",
"畢","bat1",
"叹","taan3",
"𩳍","yǐng",
"𱗚","yǒng",
"轷","fu1",
"𥝖","hé,xié",
"㮙","ngok6",
"裶","fei1",
"暅","hyun1",
"𢢗","zhuó",
"鎱","jyun4",
"甔","daam1",
"勫","faan1",
"魍","mong5",
"𦡃","nuó,nié",
"蹩","bit6",
"运","wan6",
"𥯕","dàng",
"𫚜","kwai1",
"㪋","hon6",
"䊆","jiù,qiǔ",
"銣","jyu4",
"𡿰","huāng",
"髎","liu4",
"讜","dong2",
"蟚","paang4",
"敱","ngoi4",
"𡁓","liè",
"涬","hang6",
"琀","ham3",
"𨱐","lòu",
"姊","zi2",
"𠳭","hak1",
"赕","daam6",
"芆","ngaai6",
"纴","jam6",
"䅲","kei4",
"散","saan3",
"汞","hung3",
"𣐂","yè",
"㖭","tim1",
"慡","song2",
"棑","paai4",
"梜","gaap3",
"𧹭","xù",
"贇","wan1",
"㙜","chí",
"䲐","lou5",
"陡","dau2",
"𢻗","xiá,guī",
"𨘋","jiu1",
"搗","dou2",
"求","kau4",
"𤲚","dōng",
"恍","fong2",
"𡷤","wú",
"𪋿","buk1",
"𧤖","wēi",
"㕐","se2",
"㴭","yǎo",
"锍","lau5",
"𦒺","dào",
"欴","long4",
"廿","nim6",
"𱮿","bāng",
"𢠛","kuò",
"𥺃","zi3",
"䏢","bei2",
"铿","hang1",
"𱄆","ci3",
"鰪","ap1",
"䤋","yù,guó",
"𠨦","yōu",
"頨","jyu5",
"䮑","lèi,luò",
"𩟸","huò",
"𩕍","gǎo,háo",
"祖","zou2",
"𦗔","zhāo",
"𬃀","kwai1",
"畜","cuk1",
"叫","giu3",
"𪁼","mián",
"𧀿","zhí",
"𠍨","měi",
"𢭏","dou2",
"㮓","gang2",
"𦣛","luó",
"䏎","fung4",
"暿","hei2",
"𤛦","jué",
"溺","nik6",
"𣱗","jì",
"甎","zyun1",
"勝","sing3",
"𥘫","hē",
"𠈄","waan6",
"蹣","pun4",
"㪅","gang1",
"𢾬","lù",
"䋀","huà",
"𧯦","juàn",
"銕","tit3",
"𦷦","qiàng",
"髐","haau1",
"犡","lai6",
"𥴧","keoi4",
"讞","jin6",
"𨜍","qiào",
"𨙡","xiǎn",
"𢢂","jié",
"𢹚","xiān",
"蟔","mat6",
"敳","ngoi4",
"𡉪","chí",
"涞","loi4",
"𢧈","zhuó",
"珲","wan4",
"凉","loeng4",
"𥦜","bèng",
"姄","man4",
"𦶇","rǒng,ruǎn",
"赇","kau4",
"𥶷","xuǎn",
"䅤","qì",
"敥","jim6",
"沐","muk6",
"馼","man4",
"慛","ceoi4",
"梖","bui3",
"𥧂","gǒng",
"葷","fan1",
"𨕧","bēng",
