Traditional	Simplified	Pinyin	English	Zhuyin	Level
愛	爱	ài	to love; to be fond of; to like, affection, to be inclined (to do sth); to tend to (happen)		1
愛好	爱好	àihào	to like; to be fond of; to take pleasure in; to be keen on, interest; hobby, CL:個|个[ge4]		1
八	八	bā	eight		1
爸爸|爸	爸爸|爸	bàba|bà			1
吧	吧	ba	bar (loanword) (serving drinks, or providing Internet access etc), to puff (on a pipe etc), (onom.) bang, abbr. for 貼吧|贴吧[tie1 ba1]; (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.; (onom.) smack!		1
白	白	bái	surname Bai; white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera		1
白天	白天	báitiān	daytime, during the day, day, CL:個|个[ge4]		1
百	百	bǎi	surname Bai; hundred, numerous, all kinds of		1
班	班	bān	surname Ban; team; class; grade, (military) squad, work shift, CL:個|个[ge4], classifier for groups of people and scheduled transport vehicles		1
半	半	bàn	half, semi-, incomplete, (after a number) and a half		1
半年	半年	bàn nián	half a year		1
半天	半天	bàntiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]		1
幫	帮	bāng	old variant of 幫|帮[bang1]; old variant of 幫|帮[bang1]; to help, to assist, to support, for sb (i.e. as a help), hired (as worker), side (of pail, boat etc), outer layer, upper (of a shoe), group, gang, clique, party, secret society		1
幫忙	帮忙	bāngmáng	to help, to lend a hand, to do a favor, to do a good turn		1
包	包	bāo	surname Bao; to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个[ge4],隻|只[zhi1]		1
包子	包子	bāozi	baozi; bao (steamed stuffed bun), CL:個|个[ge4]		1
杯	杯	bēi	cup, trophy cup, classifier for certain containers of liquids: glass, cup; variant of 杯[bei1]; variant of 杯[bei1], trophy cup, classifier for certain containers of liquids: glass, cup		1
杯子	杯子	bēizi	cup, glass, CL:個|个[ge4],隻|只[zhi1]		1
北	北	běi	north, (classical) to be defeated		1
北邊	北边	běibian	north, north side, northern part, to the north of		1
北京	北京	Běijīng	Beijing municipality, capital of the People's Republic of China (abbr. to 京[Jing1])		1
本	本	běn	(bound form) root; stem, (bound form) origin; source, (bound form) one's own; this, (bound form) this; the current (year etc), (bound form) original, (bound form) inherent, originally; initially, capital; principal, classifier for books, periodicals, files etc		1
本子	本子	běnzi	"book, notebook, Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi"", CL:本[ben3], edition"		1
比	比	bǐ	Belgium, Belgian, abbr. for 比利時|比利时[Bi3 li4 shi2]; euphemistic variant of 屄[bi1]; to compare, (followed by a noun and adjective) more {adj.} than {noun}, ratio, to gesture, (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)		1
別	别	bié	surname Bie; to leave; to part (from), (literary) to differentiate; to distinguish, (dialect) to turn away; to turn aside; to avert (one's face, gaze etc), (bound form) other; another; different, don't ...!, to fasten with a pin or clip, to stick in; to insert (in order to hinder movement), (noun suffix) category (as in 性別|性别[xing4 bie2], 派別|派别[pai4 bie2]); to make sb change their ways, opinions etc		1
別的	别的	biéde	else, other		1
別人	别人	biérén	other people; others; other person		1
病	病	bìng	illness, CL:場|场[chang2], disease, to fall ill, defect		1
病人	病人	bìngrén	sick person, patient, invalid, CL:個|个[ge4]		1
不大	不大	bù dà	not very, not too, not often		1
不對	不对	bùduì	incorrect, wrong, amiss, abnormal, queer		1
不客氣	不客气	bù kèqì	you're welcome, don't mention it, impolite, rude, blunt		1
不用	不用	bùyòng	need not		1
不	不	bù	no; not so, (bound form) not; un-		1
菜	菜	cài	vegetable; greens (CL:棵[ke1]), dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]), (of one's skills etc) weak; poor, (coll.) (one's) type		1
茶	茶	chá	tea, tea plant, CL:杯[bei1],壺|壶[hu2]		1
差	差	chà	difference; discrepancy, (math.) difference (amount remaining after a subtraction), (literary) a little; somewhat; slightly; different, wrong; mistaken, to fall short; to lack, not up to standard; inferior, Taiwan pr. [cha1]; to send (on an errand), (archaic) person sent on such an errand, job; official post		1
