"hanzi","part_symbol","relation","position"
"丁","一","component","1"
"丁","亅","component","2"
"丆","一","component","1"
"丆","丿","component","2"
"三","一","component","2"
"三","二","component","1"
"下","一","component","1"
"下","卜","component","2"
"丒","一","component","2"
"丒","刃","component","1"
"丕","一","component","2"
"丕","不","component","1"
"丙","一","component","1"
"丙","内","component","2"
"丛","一","component","2"
"丛","人","component","1"
"丞","一","component","2"
"丞","氶","component","1"
"丟","厶","component","2"
"丟","王","component","1"
"丠","一","component","2"
"丠","北","component","1"
"丢","厶","component","2"
"丢","壬","component","1"
"並","丷","component","1"
"並","亚","component","2"
"丩","丨","component","1"
"个","丨","component","2"
"个","人","component","1"
"丬","丨","component","2"
"丬","冫","component","1"
"中","丨","component","2"
"中","口","component","1"
"丮","乁","component","1"
"丮","㐄","component","2"
"丯","丨","component","2"
"丯","彡","component","1"
"串","丨","component","2"
"串","吕","component","1"
"丳","串","component","1"
"丳","丿","component","2"
"临","丩","component","1"
"丵","业","component","1"
"丸","丶","component","2"
"丸","九","component","1"
"为","丷","component","2"
"为","力","component","1"
"主","丶","component","1"
"主","王","component","2"
"丼","丶","component","2"
"丼","井","component","1"
"丽","一","component","1"
"举","兴","component","1"
"举","㐄","component","2"
"乇","七","component","2"
"乇","丿","component","1"
"么","丿","component","1"
"么","厶","component","2"
"义","丶","component","2"
"义","乂","component","1"
"乊","丷","component","2"
"乊","丿","component","1"
"乏","丿","component","1"
"乏","之","component","2"
"乒","丘","component","1"
"乒","丿","component","2"
"乓","丘","component","1"
"乓","丶","component","2"
"乔","丿","component","1"
"乔","夰","component","2"
"乕","卩","component","2"
"乕","厈","component","1"
"乖","北","component","2"
"乖","千","component","1"
"乗","廿","component","2"
"乗","禾","component","1"
"乘","北","component","2"
"乘","禾","component","1"
"乞","乙","component","1"
"也","丨","component","2"
"也","乜","component","1"
"乢","乚","component","2"
"乢","山","component","1"
"乣","乚","component","2"
"乣","幺","component","1"
"乤","下","component","1"
"乤","乙","component","2"
"乥","乊","component","1"
"乥","乙","component","2"
"乧","乙","component","2"
"乧","斗","component","1"
"乨","乚","component","2"
"乨","台","component","1"
"乩","乚","component","2"
"乩","占","component","1"
"乪","乙","component","1"
"乪","田","component","2"
"乫","乙","component","2"
"乫","加","component","1"
"乬","乙","component","2"
"乬","巨","component","1"
"乭","乙","component","2"
"乭","石","component","1"
"乮","乙","component","2"
"乮","卯","component","1"
"乯","乎","component","1"
"乯","乙","component","2"
"买","乛","component","1"
"买","头","component","2"
"乱","乚","component","2"
"乱","舌","component","1"
"乲","乙","component","2"
"乲","次","component","1"
"乳","乚","component","2"
"乳","孚","component","1"
"乴","乙","component","2"
"乴","折","component","1"
"乵","乚","component","2"
"乵","辛","component","1"
"乶","乙","component","2"
"乶","甫","component","1"
"乷","乙","component","2"
"乷","沙","component","1"
"乸","也","component","1"
"乸","母","component","2"
"乹","乚","component","1"
"乺","乙","component","2"
"乺","所","component","1"
"乻","乙","component","2"
"乻","於","component","1"
"乼","乙","component","2"
"乼","注","component","1"
"乽","乙","component","2"
"乽","者","component","1"
"乾","乞","component","2"
"乾","車","component","1"
"乿","乚","component","1"
"亁","乞","component","1"
"亂","乚","component","1"
"亃","乚","component","2"
"亃","粦","component","1"
"亄","乚","component","2"
"亄","壹","component","1"
"亇","亅","component","1"
"予","丁","component","2"
"予","龴","component","1"
"争","肀","component","1"
"亊","肀","component","1"
"亍","亅","component","2"
"亍","二","component","1"
"于","亅","component","2"
"于","二","component","1"
"亏","一","component","1"
"亏","丂","component","2"
"云","二","component","1"
"云","厶","component","2"
"互","一","component","1"
"互","彑","component","2"
"亓","二","component","1"
"亖","二","component","1"
"亗","二","component","2"
"亗","山","component","1"
"亘","二","component","1"
"亘","日","component","2"
"亙","二","component","1"
"亙","匀","component","2"
"些","二","component","2"
"些","此","component","1"
"亝","二","component","2"
"亝","厽","component","1"
"亟","二","component","1"
"亟","又","component","2"
"亡","乚","component","2"
"亡","亠","component","1"
"亢","亠","component","1"
"亢","几","component","2"
"亣","亠","component","1"
"交","亠","component","1"
"交","父","component","2"
"亥","亠","component","1"
"产","六","component","1"
"产","厂","component","2"
"亨","了","component","1"
"亩","亠","component","1"
"亩","田","component","2"
"亪","乁","component","2"
"亪","亦","component","1"
"享","子","component","1"
"京","小","component","1"
"亭","丁","component","1"
"亮","儿","component","1"
"亯","日","component","1"
"亰","亠","component","1"
"亱","亠","component","1"
"亱","但","component","2"
"亲","朩","component","2"
"亲","立","component","1"
"亳","乇","component","1"
"亵","执","component","2"
"亵","衣","component","1"
"亶","旦","component","2"
"亶","㐭","component","1"
"亷","产","component","1"
"亸","享","component","1"
"亸","单","component","2"
"亹","亠","component","1"
"亹","舋","component","2"
"亻","人","component","1"
"亼","一","component","2"
"亼","人","component","1"
"亽","丶","component","2"
"亽","人","component","1"
"亾","人","component","1"
"亿","乙","component","2"
"亿","亻","component","1"
"什","亻","component","1"
"什","十","component","2"
"仁","二","component","2"
"仁","亻","component","1"
"仂","亻","component","1"
"仂","力","component","2"
"仃","丁","component","2"
"仃","亻","component","1"
"仄","人","component","2"
"仄","厂","component","1"
"仅","亻","component","1"
"仅","又","component","2"
"仆","亻","component","1"
"仆","卜","component","2"
"仇","九","component","2"
"仇","亻","component","1"
"仈","亻","component","1"
"仈","八","component","2"
"仉","亻","component","1"
"仉","几","component","2"
"今","亼","component","1"
"介","人","component","1"
"仌","人","component","1"
"仍","乃","component","2"
"仍","亻","component","1"
"从","人","component","1"
"仏","亻","component","1"
"仏","厶","component","2"
"仐","人","component","1"
"仐","十","component","2"
"仑","人","component","1"
"仑","匕","component","2"
"仒","人","component","1"
"仒","冫","component","2"
"仓","人","component","1"
"仓","㔾","component","2"
"仔","亻","component","1"
"仔","子","component","2"
"仕","亻","component","1"
"仕","士","component","2"
"他","也","component","2"
"他","亻","component","1"
"仗","丈","component","2"
"仗","亻","component","1"
"付","亻","component","1"
"付","寸","component","2"
"仙","亻","component","1"
"仙","山","component","2"
"仚","人","component","1"
"仚","山","component","2"
"仛","乇","component","2"
"仛","亻","component","1"
"仜","亻","component","1"
"仜","工","component","2"
"仝","人","component","1"
"仝","工","component","2"
"仞","亻","component","1"
"仞","刃","component","2"
"仟","亻","component","1"
"仟","千","component","2"
"仠","亻","component","1"
"仠","干","component","2"
"仡","乞","component","2"
"仡","亻","component","1"
"仢","亻","component","1"
"仢","勺","component","2"
"代","亻","component","1"
"代","弋","component","2"
"令","亼","component","1"
"令","龴","component","2"
"以","人","component","2"
"以","厶","component","1"
"仦","亻","component","1"
"仦","小","component","2"
"仧","上","component","1"
"仧","人","component","2"
"仨","三","component","2"
"仨","亻","component","1"
"仩","上","component","2"
"仩","亻","component","1"
"仪","义","component","2"
"仪","亻","component","1"
"仫","么","component","2"
"仫","亻","component","1"
"们","亻","component","1"
"们","门","component","2"
"仭","亻","component","1"
"仭","刄","component","2"
"仮","亻","component","1"
"仮","反","component","2"
"仯","亻","component","1"
"仯","少","component","2"
"仰","亻","component","1"
"仰","卬","component","2"
"仱","亻","component","1"
"仱","今","component","2"
"仲","中","component","2"
"仲","亻","component","1"
"仳","亻","component","1"
"仳","比","component","2"
"仴","亻","component","1"
"仴","月","component","2"
"仵","亻","component","1"
"仵","午","component","2"
"件","亻","component","1"
"件","牛","component","2"
"价","亻","component","1"
"价","介","component","2"
"仸","亻","component","1"
"仸","夭","component","2"
"仹","丰","component","2"
"仹","亻","component","1"
"仺","人","component","1"
"任","亻","component","1"
"任","壬","component","2"
"仼","亻","component","1"
"仼","王","component","2"
