value,pinyin,english_definition,hsk_level
爱,ài,"love, like, be fond of, be keen on, cherish, be apt to",1
爱好,àihào,"love, like, be fond of, be keen on",1
爸爸,bàba,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa",1
白,bái,"white, clear, pure, plain, wrongly written/mispronounced,",1
八,bā,det.: eight,1
白天,báitian,"daytime, during the day, day, CL:個|个[ge4]",1
班,bān,m.[event],1
百,bǎi,"cent, centum, century, hundred, det.: hundred",1
吧,ba,particle: used to show mild imperative or uncertainty,1
半,bàn,det.: half,1
半年,bànnián,half a year,1
半天,bàntiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]",1
帮,bāng,help,1
帮忙,bāng máng,"assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn",1
包,bāo,"wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee",1
包子,bāozi,"steamed stuffed bun, CL:個|个[ge4]",1
杯,bēi,m.[container],1
杯子,bēizi,"tumbler, drinking glass, cup, glass",1
北边,běibian,"north, north side, northern part, to the north of",1
本,běn,det.: this,1
